Gene ID,Gene Name,SRR975564,SRR975565,SRR975566,SRR975569,SRR975570,SRR975571,SRR975597,SRR975598,SRR975599
ENSG00000162836,ACP6,311,446,151,309,140,292,309,448,192
ENSG00000162840,MT2P1,0,0,0,0,0,0,0,0,0
ENSG00000162843,WDR64,1,0,1,6,0,5,0,0,0
ENSG00000162849,KIF26B,124,42,152,23,3,29,69,27,37
ENSG00000162851,TFB2M,522,475,293,411,154,437,488,635,172
ENSG00000162852,CNST,495,488,266,1281,441,1008,386,466,184
ENSG00000162869,PPP1R21,470,467,277,391,292,701,175,449,99
ENSG00000162873,KLHDC8A,13,17,13,0,2,22,0,3,3
ENSG00000162877,PM20D1,1,2,1,4,2,7,3,1,1
ENSG00000162878,PKDCC,687,1864,801,1194,604,1172,268,1298,2347
ENSG00000162881,OXER1,47,6,21,32,31,61,115,57,47
ENSG00000162882,HAAO,375,46,202,295,135,387,469,503,162
ENSG00000162885,B3GALNT2,413,407,352,346,120,378,305,327,131
ENSG00000162888,C1orf147,1,2,3,9,3,9,2,5,4
ENSG00000162889,MAPKAPK2,1787,2352,1155,2011,699,2151,1126,1920,641
ENSG00000162891,IL20,0,0,0,0,0,0,0,0,0
ENSG00000162892,IL24,131,85,4,41,19,14,2,9,8
ENSG00000162894,FCMR,186,80,52,255,106,143,61,132,70
ENSG00000162896,PIGR,65316,278,24437,168969,69316,175425,1965,333,7692
ENSG00000162897,FCAMR,64,247,10,83,27,64,30,122,9
ENSG00000162909,CAPN2,5191,3921,1837,6092,3556,11147,2612,3966,1408
ENSG00000162910,MRPL55,283,274,126,156,108,262,192,448,157
ENSG00000162913,OBSCN-AS1,4,4,1,5,2,4,1,1,8
ENSG00000162923,WDR26,1264,1719,874,2557,834,2002,1254,1517,588
ENSG00000162924,REL,267,232,185,478,134,346,173,194,51
ENSG00000162927,PUS10,104,239,113,256,87,236,65,200,36
ENSG00000162928,PEX13,580,912,559,952,378,883,485,885,186
ENSG00000162929,KIAA1841,92,268,215,313,113,318,199,291,63
ENSG00000162931,TRIM17,3,12,1,10,10,19,7,19,9
ENSG00000162944,RFTN2,29,51,54,75,28,79,16,42,25
ENSG00000162946,DISC1,94,62,61,100,24,91,37,32,16
ENSG00000162947,LINC01931,0,3,0,0,0,0,1,0,0
ENSG00000162949,CAPN13,14,102,21,1323,560,433,586,384,120
ENSG00000162951,LRRTM1,2,6,1,10,7,31,0,0,0
ENSG00000162959,MEMO1,213,172,147,121,41,138,165,231,67
ENSG00000162961,DPY30,496,670,421,436,213,477,458,654,237
ENSG00000162971,TYW5,131,281,152,240,89,233,140,225,79
ENSG00000162972,MAIP1,324,294,193,308,157,385,244,351,95
ENSG00000162975,KCNF1,6,13,4,22,3,17,3,5,1
ENSG00000162976,PQLC3,288,189,204,412,155,392,142,189,119
ENSG00000162980,ARL5A,887,941,859,1224,332,1056,642,848,173
ENSG00000162981,FAM84A,5850,4622,2459,6181,2199,3951,5584,13556,2260
ENSG00000162989,KCNJ3,2,162,1,58,22,45,2,34,4
ENSG00000162992,NEUROD1,1,3,0,82,52,29,1,0,0
ENSG00000162994,CLHC1,21,103,41,78,47,71,52,49,23
ENSG00000162997,PRORSD1P,15,97,13,51,27,49,19,63,6
ENSG00000162998,FRZB,50,617,247,1067,442,807,54,84,128
ENSG00000162999,DUSP19,12,84,29,69,26,60,20,29,9
ENSG00000163001,CFAP36,347,410,174,352,158,403,278,347,151
ENSG00000163002,NUP35,362,386,266,311,113,279,271,345,77
ENSG00000163006,CCDC138,86,20,85,134,29,83,98,109,32
ENSG00000163009,C2orf48,1,2,1,3,2,0,14,15,8
ENSG00000163012,ZSWIM2,0,0,0,0,0,0,0,0,0
ENSG00000163013,FBXO41,533,198,370,116,42,121,247,323,314
ENSG00000163016,ALMS1P1,7,2,0,7,0,6,1,0,1
ENSG00000163017,ACTG2,1423,577,779,747,431,945,140,122,27
ENSG00000163026,WDCP,109,133,146,148,47,175,126,117,54
ENSG00000163029,SMC6,825,1088,657,1181,407,1127,655,812,242
ENSG00000163032,VSNL1,116,153,149,53,26,132,188,239,472
ENSG00000163040,CCDC74A,37,73,39,24,13,22,69,55,39
ENSG00000163041,H3F3A,4532,9542,3492,9375,4227,10151,4700,9277,2541
ENSG00000163046,ANKRD30BL,0,0,1,0,0,0,0,0,0
ENSG00000163050,COQ8A,1385,1903,913,1515,691,1287,2031,2169,978
ENSG00000163053,SLC16A14,28,91,37,289,57,210,8,18,10
ENSG00000163060,TEKT4,0,3,1,0,0,0,0,5,0
ENSG00000163064,EN1,0,3,0,0,0,0,0,0,0
ENSG00000163069,SGCB,864,578,397,853,266,1091,186,240,159
ENSG00000163071,SPATA18,238,43,56,142,46,196,16,25,37
ENSG00000163072,NOSTRIN,428,482,101,729,331,979,219,409,115
ENSG00000163075,CFAP221,0,7,0,5,0,1,2,11,7
ENSG00000163081,CCDC140,0,0,0,0,0,0,0,0,0
ENSG00000163082,SGPP2,2103,597,124,2079,726,1861,537,772,220
ENSG00000163083,INHBB,79,48,128,26,6,54,85,102,85
ENSG00000163092,XIRP2,0,0,0,1,0,0,0,0,0
ENSG00000163093,BBS5,60,84,101,53,21,99,115,71,68
ENSG00000163098,BIRC8,0,0,0,0,0,0,0,0,0
ENSG00000163104,SMARCAD1,755,487,911,866,312,769,309,336,167
ENSG00000163106,HPGDS,8,21,22,143,42,330,15,8,12
ENSG00000163110,PDLIM5,1403,1363,1278,2878,982,3456,958,920,586
ENSG00000163114,PDHA2,0,0,0,0,0,0,0,0,0
ENSG00000163116,STPG2,0,1,0,8,1,0,3,5,1
ENSG00000163121,NEURL3,15,15,37,16,8,37,55,28,17
ENSG00000163125,RPRD2,927,1023,592,1303,471,1247,733,1296,354
ENSG00000163126,ANKRD23,10,12,6,11,5,16,12,39,14
ENSG00000163131,CTSS,2447,3045,2992,16522,4190,13399,2909,3941,1036
ENSG00000163132,MSX1,64,14,32,7,3,8,10,20,4
ENSG00000163138,PACRGL,153,198,153,222,76,256,196,120,45
ENSG00000163141,BNIPL,4,20,7,7,1,8,9,23,15
ENSG00000163145,C1QTNF7,11,27,8,243,78,276,6,2,11
ENSG00000163154,TNFAIP8L2,35,37,65,56,46,104,47,41,20
ENSG00000163155,LYSMD1,125,172,107,176,92,197,159,224,53
ENSG00000163156,SCNM1,342,402,211,363,168,452,321,558,281
ENSG00000163157,TMOD4,0,0,0,0,0,0,0,0,0
ENSG00000163159,VPS72,701,643,425,588,244,659,607,983,349
ENSG00000163161,ERCC3,669,974,690,828,353,891,681,836,394
ENSG00000163162,RNF149,1001,985,747,1164,374,1242,743,1328,418
ENSG00000163166,IWS1,1280,1898,883,1591,520,1616,947,1197,378
ENSG00000163170,BOLA3,258,129,196,214,84,235,136,233,68
ENSG00000163171,CDC42EP3,277,553,159,893,284,701,83,305,138
ENSG00000163191,S100A11,3787,3685,2502,1160,489,1986,2845,7425,1778
ENSG00000163202,LCE3D,0,0,0,0,0,0,0,0,0
ENSG00000163206,SMCP,0,0,0,0,0,0,0,1,0
ENSG00000163207,IVL,0,0,0,0,0,0,0,0,0
ENSG00000163209,SPRR3,0,0,0,0,0,0,0,0,0
ENSG00000163214,DHX57,269,478,320,407,148,418,338,316,126
ENSG00000163216,SPRR2D,0,0,0,0,0,0,1,6,0
ENSG00000163217,BMP10,0,0,0,0,0,0,7,2,0
ENSG00000163218,PGLYRP4,0,3,0,1,0,0,0,1,1
ENSG00000163219,ARHGAP25,143,132,151,327,102,363,139,119,100
ENSG00000163220,S100A9,935,262,288,49,28,329,189,180,92
ENSG00000163221,S100A12,21,5,4,0,0,9,4,2,1
ENSG00000163235,TGFA,429,124,214,700,280,985,252,512,128
ENSG00000163239,TDRD10,3,6,7,16,10,46,1,7,1
ENSG00000163249,CCNYL1,384,297,373,1244,372,1093,303,273,150
ENSG00000163251,FZD5,2172,2318,876,3750,1458,3003,2035,2229,522
ENSG00000163254,CRYGC,0,0,0,0,0,0,0,0,0
ENSG00000163257,DCAF16,632,959,479,736,238,631,776,531,155
ENSG00000163263,C1orf189,1,0,1,1,0,0,0,0,0
ENSG00000163273,NPPC,3,1,1,4,4,0,0,0,0
ENSG00000163281,GNPDA2,186,301,191,286,95,258,186,152,63
ENSG00000163283,ALPP,264,2,1,2,0,0,1,3,0
ENSG00000163285,GABRG1,0,0,0,9,0,9,0,0,1
ENSG00000163286,ALPG,2586,1,1,2,6,10,2,84,0
ENSG00000163288,GABRB1,0,13,17,3,0,1,1,4,2
ENSG00000163291,PAQR3,340,277,269,298,115,337,73,100,96
ENSG00000163293,NIPAL1,605,845,416,2562,712,1693,551,354,236
ENSG00000163295,ALPI,59,6,2,427,127,353,8,8,3
ENSG00000163297,ANTXR2,1705,1450,773,3703,1177,3072,486,703,270
ENSG00000163312,HELQ,143,198,118,258,72,220,65,98,59
ENSG00000163319,MRPS18C,365,326,236,338,156,401,159,253,148
ENSG00000163320,CGGBP1,1034,1747,944,2446,717,1897,876,1285,567
ENSG00000163322,ABRAXAS1,229,124,112,237,121,236,92,69,62
ENSG00000163328,GPR155,41,103,154,246,67,298,50,33,32
ENSG00000163331,DAPL1,2,2,0,3,3,3,25,1,0
ENSG00000163344,PMVK,675,689,234,603,307,831,453,1040,336
ENSG00000163346,PBXIP1,815,1397,851,3016,1200,2849,1336,2065,1313
ENSG00000163347,CLDN1,548,512,1479,59,28,96,1025,1463,603
ENSG00000163348,PYGO2,524,740,468,839,349,844,596,911,499
ENSG00000163349,HIPK1,1897,1504,848,2397,787,2152,1402,814,505
ENSG00000163352,LENEP,0,1,1,0,1,2,2,2,0
ENSG00000163354,DCST2,10,55,1,25,19,33,19,55,31
ENSG00000163357,DCST1,5,28,0,17,4,21,7,21,12
ENSG00000163359,COL6A3,10271,7820,13517,2541,922,5651,2896,1608,1506
ENSG00000163362,INAVA,1932,2176,501,4210,1838,3575,1587,2406,1122
ENSG00000163364,LINC01116,16,20,16,26,9,47,0,2,2
ENSG00000163374,YY1AP1,894,1169,503,1022,377,1101,723,1008,380
ENSG00000163376,KBTBD8,111,103,91,187,50,131,86,72,79
ENSG00000163377,FAM19A4,0,0,1,0,0,1,0,0,0
ENSG00000163378,EOGT,260,347,261,286,87,357,141,173,121
ENSG00000163380,LMOD3,3,14,2,3,2,4,0,1,3
ENSG00000163382,NAXE,711,1212,644,723,387,1057,919,2016,414
ENSG00000163389,POGLUT1,302,140,229,425,125,421,257,360,135
ENSG00000163393,SLC22A15,23,28,83,74,24,97,92,105,24
ENSG00000163394,CCKAR,0,0,0,0,0,0,0,0,0
ENSG00000163395,IGFN1,6,5,10,9,6,71,14,12,4
ENSG00000163399,ATP1A1,22969,16555,21528,31760,13350,40598,15380,19395,12604
ENSG00000163406,SLC15A2,25,51,25,198,57,95,18,45,13
ENSG00000163412,EIF4E3,347,275,134,1418,514,1551,94,428,93
ENSG00000163421,PROK2,32,7,3,2,0,5,0,0,3
ENSG00000163424,C3orf30,0,0,0,0,0,0,0,0,0
ENSG00000163428,LRRC58,1083,977,794,991,266,879,766,656,271
ENSG00000163430,FSTL1,4642,3736,5165,3175,1019,5449,1816,1212,1007
ENSG00000163431,LMOD1,226,246,157,1086,422,1565,105,57,115
ENSG00000163435,ELF3,4814,7563,4108,10076,4816,16847,7298,26607,4567
ENSG00000163440,PDCL2,0,0,0,0,0,0,0,0,1
ENSG00000163444,TMEM183A,1182,1426,527,1352,615,1843,922,1853,444
ENSG00000163449,TMEM169,3,6,5,21,18,21,5,5,5
ENSG00000163453,IGFBP7,2389,5355,4816,2225,622,3475,2112,2762,3146
ENSG00000163462,TRIM46,22,16,14,12,3,15,12,14,50
ENSG00000163463,KRTCAP2,338,311,165,236,105,311,372,619,278
ENSG00000163464,CXCR1,76,38,10,7,4,25,7,7,8
ENSG00000163466,ARPC2,4163,5441,2997,5192,2417,6171,2860,4480,1479
ENSG00000163467,TSACC,12,12,3,2,1,1,3,7,2
ENSG00000163468,CCT3,7094,8165,3226,2911,1261,4197,4456,6075,2078
ENSG00000163472,TMEM79,59,145,52,114,48,114,94,216,106
ENSG00000163479,SSR2,3930,2646,1837,2959,1322,3606,2521,3722,1364
ENSG00000163481,RNF25,211,248,180,189,89,300,168,303,139
ENSG00000163482,STK36,234,542,332,289,124,376,312,350,208
ENSG00000163485,ADORA1,22,21,19,17,11,45,8,23,10
ENSG00000163491,NEK10,1,18,19,13,5,6,14,6,13
ENSG00000163492,CCDC141,2,4,3,14,2,26,0,2,2
ENSG00000163497,FEV,0,1,0,52,14,24,0,1,1
ENSG00000163499,CRYBA2,0,2,0,25,16,8,0,12,1
ENSG00000163501,IHH,579,1637,415,1329,525,1183,1595,4523,512
ENSG00000163507,CIP2A,349,357,213,166,41,102,218,291,46
ENSG00000163508,EOMES,14,7,15,17,6,14,6,8,72
ENSG00000163510,CWC22,564,634,443,763,288,728,436,608,158
ENSG00000163512,AZI2,360,203,199,547,216,544,228,282,114
ENSG00000163513,TGFBR2,1364,2470,2139,3150,1067,4795,1778,2159,1196
ENSG00000163515,RETNLB,10,14,15,421,141,94,61,30,2
ENSG00000163516,ANKZF1,1065,1197,535,829,361,831,1060,1192,716
ENSG00000163517,HDAC11,564,865,510,524,293,605,1060,951,336
ENSG00000163518,FCRL4,6,2,2,19,8,13,1,1,0
ENSG00000163519,TRAT1,24,11,8,46,11,39,10,8,26
ENSG00000163520,FBLN2,437,164,754,1352,365,3333,636,285,231
ENSG00000163521,GLB1L,89,111,79,148,38,118,132,78,34
ENSG00000163527,STT3B,4135,2437,3162,4077,1623,4645,4279,5027,1340
ENSG00000163528,CHCHD4,546,316,148,286,125,369,332,450,116
ENSG00000163530,DPPA2,0,0,0,0,0,0,0,0,0
ENSG00000163531,NFASC,92,212,175,485,171,707,108,102,377
ENSG00000163534,FCRL1,27,2,3,54,43,59,7,1,4
ENSG00000163535,SGO2,363,280,220,217,93,150,280,345,66
ENSG00000163536,SERPINI1,24,70,106,79,22,121,22,11,35
ENSG00000163539,CLASP2,850,355,578,896,312,906,591,605,201
ENSG00000163541,SUCLG1,1744,2745,1259,3412,1668,3979,2014,3187,648
ENSG00000163545,NUAK2,443,641,318,987,392,986,884,1079,289
ENSG00000163554,SPTA1,0,1,1,3,1,2,1,2,1
ENSG00000163558,PRKCI,1381,1085,635,1633,591,1333,832,985,278
ENSG00000163563,MNDA,179,99,198,159,39,257,129,44,58
ENSG00000163564,PYHIN1,16,16,17,39,24,41,7,8,20
ENSG00000163565,IFI16,767,373,625,1102,319,1664,234,429,158
ENSG00000163568,AIM2,88,10,23,55,15,56,6,26,10
ENSG00000163576,EFHB,3,5,6,3,0,1,1,20,5
ENSG00000163577,EIF5A2,275,107,99,92,22,69,97,46,32
ENSG00000163581,SLC2A2,1,4,0,16,0,3,693,645,127
ENSG00000163584,RPL22L1,2671,419,206,267,85,336,215,589,206
ENSG00000163586,FABP1,2094,5584,11279,36563,25118,87611,12093,128481,12767
ENSG00000163590,PPM1L,249,88,206,835,242,543,124,299,159
ENSG00000163596,ICA1L,26,36,43,41,11,37,19,21,13
ENSG00000163597,SNHG16,966,737,482,389,212,520,730,518,395
ENSG00000163599,CTLA4,28,22,60,32,8,31,21,9,29
ENSG00000163600,ICOS,22,25,35,30,5,28,26,10,27
ENSG00000163602,RYBP,820,1143,451,1410,478,1273,623,1041,293
ENSG00000163605,PPP4R2,923,1071,800,1787,614,1340,815,970,413
ENSG00000163606,CD200R1,5,12,14,109,20,95,22,3,12
ENSG00000163607,GTPBP8,249,201,115,250,90,240,133,187,79
ENSG00000163608,NEPRO,585,720,345,767,255,630,567,623,259
ENSG00000163611,SPICE1,347,474,151,361,107,270,343,701,90
ENSG00000163612,FAM86KP,1,0,0,1,0,0,1,0,0
ENSG00000163617,CCDC191,99,258,79,205,75,162,230,160,65
ENSG00000163618,CADPS,343,728,42,88,50,116,86,112,308
